title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
Inception,2010,Action,148,Christopher Nolan,Leonardo DiCaprio,836.84,292.58,8.8,8.8,8.6,9.0,9.0,8.8,8.2,2236006,1254372,292087,1186,390591,880359,170847,8.7,8.7,259548,830275
The Other Guys,2010,Action,107,Adam McKay,Will Ferrell,170.46,119.22,6.7,6.7,6.5,6.7,6.8,6.6,6.3,259194,180829,23477,63,41141,128476,26097,6.8,6.5,50125,114279
Shutter Island,2010,Mystery,138,Martin Scorsese,Leonardo DiCaprio,294.81,128.01,8.2,8.1,8.2,8.5,8.5,8.1,7.5,1236991,702294,169033,600,223168,502477,93048,7.8,8.1,134005,502696
The Social Network,2010,Biography,120,David Fincher,Jesse Eisenberg,224.92,96.96,7.7,7.8,7.4,8.2,7.9,7.7,7.5,674197,413868,98319,400,125194,309101,56842,8.0,7.6,94119,305481
Despicable Me,2010,Animation,95,Pierre Coffin,Steve Carell,543.11,251.51,7.6,7.6,7.9,7.3,7.7,7.6,7.6,527478,291005,104237,430,102226,226545,43787,7.6,7.6,67581,224504
Black Swan,2010,Drama,108,Darren Aronofsky,Natalie Portman,329.4,106.95,8.0,8.0,8.0,8.4,8.1,8.0,7.6,738375,410293,164092,250,122979,360650,69373,8.0,8.0,99365,346069
The Town,2010,Crime,125,Ben Affleck,Ben Affleck,154.03,92.19,7.5,7.6,7.3,7.5,7.6,7.5,7.4,377653,266485,36606,64,52706,196188,43010,7.8,7.4,65652,180679
Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,146,David Yates,Daniel Radcliffe,977.04,295.98,7.7,7.5,8.2,7.9,7.9,7.6,7.4,522983,283428,97159,443,117791,207096,37342,7.9,7.5,68490,222268
The Book of Eli,2010,Action,118,Albert Hughes,Denzel Washington,157.11,94.84,6.9,6.8,6.8,6.9,7.0,6.8,6.8,309674,222714,26360,30,38647,160695,39937,7.0,6.7,50119,151470
Grown Ups,2010,Comedy,102,Dennis Dugan,Adam Sandler,271.46,162.0,6.0,5.9,6.2,5.9,6.2,5.9,5.7,243660,151099,37564,117,49932,108932,20609,5.7,5.9,38045,107045
True Grit,2010,Drama,110,Ethan Coen,Jeff Bridges,252.28,171.24,7.6,7.6,7.5,7.6,7.6,7.6,7.6,330697,234462,31711,79,42062,166536,48962,7.8,7.5,62098,160426
Valentine's Day,2010,Comedy,125,Garry Marshall,Julia Roberts,216.49,110.49,5.7,5.6,5.9,5.6,5.8,5.7,5.7,118435,50552,45788,16,22858,59106,11248,5.6,5.7,19553,58358
The A-Team,2010,Action,117,Joe Carnahan,Liam Neeson,177.24,77.22,6.7,6.7,6.9,6.4,6.9,6.8,6.4,255233,188106,23506,28,37360,136494,30443,6.8,6.7,39846,131038
Scott Pilgrim vs. the World,2010,Action,112,Edgar Wright,Michael Cera,48.92,31.49,7.5,7.5,7.3,7.8,7.7,7.5,7.2,411038,256191,55675,241,74819,191045,32824,7.7,7.4,69074,178767
I Spit on Your Grave,2010,Horror,108,Steven R. Monroe,Sarah Butler,1.28,0.09,6.3,6.2,6.4,4.9,6.2,6.3,6.3,82039,53278,12320,23,12073,40307,10796,6.3,6.2,10496,41343
Kick-Ass,2010,Action,117,Matthew Vaughn,Aaron Taylor-Johnson,96.19,48.07,7.6,7.6,7.4,7.5,7.5,7.6,7.6,548168,375009,63627,148,92536,276702,52436,7.7,7.6,84279,268369
